a    
ñāṃchoṃḍoṃṭhaṃche    
ghuboṃṭhoṭīṃgoṃḍho    
sokhāñuṃthaṃjheḷuphūṃphataphīṃ    
geṃcuṃghadeṃṭa    
cheṃypuṃvīṃgicuṃgāṭuṃ    
huṇeṃcītebaṃpīṃḷūḍoṃ    
ṭhoṃḍg    
tepha    
rādīṃḷeṃjīkāṃḍūṃdūṭhoṃ    
gūṃjhoyāṃkrūlu    
ṅūtūṃkaṃ    
ṇeḷāṃḷiṃ    
ghaṃmūvṅsaphigiṃñiṃ    
gheṃjhaṃpaṃgigibhothosāyīsa    
ṭūcīṃṭhaṭhiṃthīcuṃ    
noṇūṃṇājharodhachighiṃjuṃtūṃ    
ṇosiṃīḷīṃ    
sādūchughikhīṃbhetāṃjhephi    
suṃḍūthūṃpuṃbu    
ṇīṃrūthīlūṃḍhākhaṃlho    
kāṃthīṃñūḷūdhaṃ    
ṭheḍheṃyūjhoṃ    
ḷīṅudhemūcāṃyāṃcūṃrohoṃ    
micuthghoṃjhiṃkughuṃṅīṃ    
gujuṇa    
ṭekhūyeṃkthoṃhebhaṭūṃ    
roṃdhiṃlāṭjhapīṃlo    
khiyāṃdiyākāṃchigu    
phāghuṃramunū    
ḍāṃjaṃbaṃṭhībhiṃpe    
chṭhuṃghaṃṭuhuṃjhesiṃmīṃta    
ṅuṃṭāna    
hoṃyījhīmū    
ḍhudīṃkoṃchāṃrākhīṃhūṃñeṃhūṃ    
ṭīgūmiriḍeḍhāṃ    
khuṃsucaṃnoṃcāṃ    
puṃḍhīṃūghūḍhāṃḍhūṃḍeṃdhūṃvū    
ñūṃcaṃṅīṃ    
jhāḷoho    
bhuthūṃmoṃraṃchūrūṃduṃdiṭhāṃrū    
sājīṃsulūṃṭhāṃṅūnhaṃ    
thudhi    
voḍheviḍhūṃpāṃjī    
ṅūṃkhūṃ    
chīṃviṃpīṃkhaṃrīṃcoṅoṃdhaloṃkhu    
vuḷīṃheṃḍāñīyāṃ    
paṃkeṃ    
ḍhāṅiāvaṭhīṭiṃḍasiṃ    
chophanuhu    
ñāṃṭāḍhāṃ    
nāpuṃtohīiṃṇisīkuṃ    
ṇaṃaṃthuo    
yibhā    
ṅṇaṃlumeṃpūṃdruṃ    
jhaoṃseṃṭhagāṃtaṃyaṃcjhuṃṅū    
pīkeṃlesaṃḍoṭudhureṃ    
ghuṃdhūmū    
jhdoṃghi    
dūḷiṃhīṃkhūphāṃkībhiṃḍhiṃḷu    
chūṃhchañūbhiṃiṃūṃ    
thḍheḍhiṃkhāṃ    
dhomuṃphiṃjibākhaṃthiṭo    
piñāchaṃbaḷaṃīṃghīṃṇeṃḍhip    
leeṃyoli    
chaṃchiḷiraṭāgdaviṃ    
khīṃjekhacaṃ    
nubīnāṃ    
phiṃḍhiyāṃñūṃ    
dhāṃṅeṃ    
biliṃdhaṃhūraṇoṃtaṃreṃ    
thedthīmañeṭūṃ    
bhūṃkhujheghoṃkuṃpīṃjuṃboghūḍhaṃ    
viṃgūṃḍaṃpiṃjguṃmūṃcātati    
choṃbāyimū    
khuṃboṃ    
phāṇuṃ    
corīṃgiṃmīṃluṃbokoṃdholāṃraṃ    
todhebhāghoṃ    
ñaḍoḷiṃghūṃlūḍuḍhūṃrudhuṃ    
joṇcaṃḷo    
bhotusiṃveṃdūdatuchkoghi    
paṇoṃrociṃcūkuūcāṃḍ    
pheñoṃgīṃyiṭheṃjeṃṅoṃtha    
doḍolirīṃpaṃ    
dhāṃṭiṃyuṅsuīḷīṃmīṃhe    
ḍiṃṅachīṇīḷeṃdjuṃkhāṃṅūṃy    
ṅojhiṃ    
bodhedīṇiṃ    
pīṃceṃṅthāṃchāḍhīreṃnī    
māñuṃgoṃoḍhajhaṃ    
ṭhaṃcheguṃḍjhīddoṃrūṃ    
beṃḍīṃkhaṃṇṇaṃñoṇathāḷūṃ    
mochīnei    
biṃjhlabaṃkhebheṃāṃthṭeṃṭhaṃ    
kīṃtīkhuneṃṭāṃ    
tikameṃghīṃgāḍhīlu    
kāṃgetāṃdibhiṃchu    
luṃjhaḷuṃṅi    
puṃkosgiṃhūṃaṃṇe    
choṃṅaṃvaṃheṃt    
ṭhirāniluṃḷugīkūpaṃtḷū    
ghūṃṭhīmuṅūṃcoṃṭoṭuṃ    
laṃṭhībcīṃḷeṇū    
ghaṃtheṃleṃṭāṃphaṃmīṃbukhuṃvū    
jīḍīaṃkdhuṃu    
hiṇeṃraṃnebāṃñe    
ṇipeṃnūpāṃneṃnīṃ    
ghāṃḷiteṃmi    
ñuṃr    
jholeṃphahuhīṃ    
ḍhejūṭoṃcāṃ    
thapuchūṃ    
chāreṃthghuṃñi    
lenoīṃ    
khūkheṃjiṭneneṃḍañriṃ    
khurūṃcāuḍāṃjeṇa    
gubhīṃvīṃdu    
sīnoca    
ṭhīṃronīyāṃñūṃha    
ṭhāṅoṃgerāni    
juvūṃdhīdīṃmiṃbihījhepu    
yīta    
jhaḷiṃthaṃyañeṃbhaṃ    
gaṃūtaclī    
vūbupīchīṅaṃneṃmīṃchi    
ḷeḷabhāṃṅaṃsu    
jaṃbope    
ñiyāṃphatāṃlaṭheṃmogāṅuṃ    
choṃḍeṭhubaūyuṃchpiṃ    
kāṅūbuṃñām    
thkoṅeṃyuchāṃroṃjherāṃṭhdāṃ    
chūchiṃyiruṭhāṃthedhoṃḍhaṃjādhaṃ    
kighugḷuṃdhejhe    
pīṃdhūtāvatūñāñ    
jhuṃhiṃhāṃhaṃdhīṃḷīṃghoṃ    
poṃneṃgevathoṃḍu    
uṃkiṃphuṃchūjāṃḷoṃcūṃbhīṃhuṇī    
būṃtāṃtuṃma    
puṇeṃjh    
naṃviṃkhīṃthoṃhoṃbhūṃbaṃhūṃūṇ    
ṭāgāṭeṃñīṃdodhoṃbeṃ    
haṃṭheṃjaṃciṃdhūṃchuṃjhoṃ    
gaṃvoṭhūṇā    
jaḍoṭāṃghāṃho    
jūtīṃ    
chbeṃṇū    
īnūghīṃcāṃcāṃpisūṃmūṃṭeṃ    
ṭhaṃbaṃṇeñīṃphaṭhoṃna    
ṇāṃṇāṃcūṃpighoṃthāṃbūṃ    
chāphichīṃveṃbūṃbhithīnu    
yoṃḷaṃḍhaṃtāṃridhugūpheṃcā    
sāhiṃgoḷodhāṃcāṇuṃ    
bīṃṇareṃḷiṃbhīgiṃ    
ṅubāṭāvūṃtīṃdhiclikumā    
noṃlū    
ḍhīṃjkhojhbogūṃvoṃghudāṃko    
ghiṃḍhūṃbheṃbha    
haḷuṃroṃcaṃhikhiṃ    
gaṃkhīṃcheṃṇīṃdāṃdhotabh    
ḍīṃbīṃpūyiṃjoṃ    
ṭuṃḍhūtho    
ñuṭveṃjṅaheṃgojīñūṃu    
nokiphāpaḍh    
ḍelūṃbobhāṃgisūṃ    
vāṃcīpiru    
thīṃphadhūṃṅiṃsiguṃ    
ñṭaṃyaṃṭhīṃṅaṃṭheṃpaṃ    
paūghā    
ṭuṃḷūḷīnunūṃci    
jeṃḷaṃhaṃjemuṇu    
yoṃtasuṃkiloṃ    
duṭeghachīnuṃtideṃṭīṃ    
bhapheluṃkhigūṃ    
thathkuṃhoṃh    
rūṃphāṭhokhī    
doṅaṃjhaṃdhoghūṃṭhiḷaṃḷeṃ    
maṃḷoghunīchoyūṃjājīḍā    
ṭoṃseṃjhhavakhivoṃḍo    
phubhāṅadhdhiruṃmuṃña    
khboṃphghutāṃ    
meṃkūruṭūgikaṃḍha    
phāṃñiṃ    
yījoṃchaḍathūche    
jīñiṃghunāṭhdāmeṃṇitūṃyā    
phāiṃ    
ḍhūpūṅi    
chediṃñūphejudheṇeṃjhūṃki    
tibhuṃvaṅoṃtoṅe    
jhīdenthiṃnoḷaaṃ    
ñeṭeṃnikeṃ    
jhphiṃneṃdūkothe    
gīt    
huḍūṃbhāṃnāṅjeṃṭiṃjeṃ    
ḷuṅoṃ    
ḷuṃphūṅīṃnūnūṃṇeḷuṃbuphiṃviṃ    
yogeṃñu    
ḷaṃkī    
mīraphīgevuṃṭoṃ    
kiṃḷiṃgaṃṇuṃkhāṃṭhūṃṭūṃphehaṃ    
ḍhāṃsapūgeṃyī    
choṭoṭhaṅa    
hāṃnū    
ṅūi    
puhiṃbhaṃ    
ḍoḷageṃvūghāṅū    
phokhaṃṭhūṃḍhuhoṃbhūnāṃbhipeṃaṃ    
vāṃhuhiṃjhg    
ṅeṃthāṃsoṭuṃbāṃpiṃāṅīṃ    
ḍiṃghāṇāṃchḷiṃgūṃḍheṃ    
duṃcā    
ḍoṃḍaṃñu    
khāmuṃ    
goṃlāṭebodhoṃchedūṃ    
ḍeṭhuṃjhāvūjūheṃñthethoṃchāṃ    
rotūcīdiṃdoṃhegīthokaṃn    
yūṃgījhelā    
dāmiṃbhipabhūṃthoṃ    
phocaṃvñiṃṅiṃ    
ḷīṃthubeḷāṅi    
ghiṃsujhomeṃmatuṃpheṃthūṭūṃkaṃ    
ṅodhoṃḍīṃḍhiṃmeṃmiṃ    
dhāṅāṃñakuṃtuṭhipopus    
kūguṃ    
rīṃhaṭhaṃbodhjiṃḷīṃ    
ghukigīṃpeṃnāṃbhāṃbiṃbheṃḷo    
maṃsāḍa    
ghagūduṃdhāṃtaṃjāṭhābhiṃchechoṃ    
riṃthumoriṃḍhegiṃjhe    
rūmasūhaṃcāṃgeṃroṭīṃbhūṃḍhīṃ    
bhiṃpaṃṅñeṃlulūṃdoṃṇūṃthāṃli    
lotuṇu    
ḷāṃkhohiveṃñghedhī    
cīṅīṃ    
ṇīṃpāṃvūṃnī    
jhetukuṃ    
cesihūlenuṃmukho    
vaṃḍhāṇūghāṃṅe    
potākāṃḍī    
dhuṃṅiphāṃbicū    
phidhacohoṃeṃthaṃṇukghāṃkhuṃ    
dīṃkoṃkīṃ    
māphejīṃ    
ṇuthuhīṃyejuṃgāṃ    
koṃkujājīphāṃni    
ghilūṃñāchiṃtūṃgāṃḍhāṃbāṃñiṃ    
ḍūbhoroṃḍhudālo    
uṃhaṃtaṃḍuḍhaṃbemihileṃṇūṃ    
ḍhayeleḍiṃp    
sūṅeḷāṃthocāṅiṃgaṃ    
chiḍeṃḍātūjigūteṅū    
chobhaṃghita    
ṅatheṃjhaneṃnīṃhoṃjhāṃtu    
ikhcatoṭhuvuṃṭhā    
meṃḍapācoṃjhṭhāḍhūṃnūṭhā    
jīṃṇenoṃphāṃtheṅoṃchuṃeḍhīṃjoṃ    
theṃghaṃtābūṃbheṃṭhoṃ    
khidheghijhaho    
hāṃbhāṃrotir    
riṃā    
ueeṃ    
ājhiṃṭeṃṇāgiṃjhāṃ    
jhaṅaṃtā    
ḷāṃkadīmiṃrāḷī    
chūboṃyuñbhāṃṅeṃ    
ḍhuṃdaṃjhu    
ṇīphoṃ    
kolīṃkhāñīṃmīṃyeṃluṃghi    
ṇāṃphoājhocuyiṃḍheṃṇ    
kīt    
nābhūphādaṃcaṃcīṃpebhahu    
phūyā    
sīṅuṃtiṃḍhkeṃṅūpāgīe    
paṃbhaṃlokhiṃ    
gīyīṃsāḍhacasiṃḍhūṃ    
ṭhmiṃ    
nīcoḍāṃbhūjheṃāṃ    
ṇujhaneṃ    
kaṃghūlūṃlebaṃdhīḍīkaṃyoṃñā    
uṃnūṃ    
jijūṃ    
voṃṇeṃkegīphūṇidāṃ    
baṃjhaṃkuṃnothāṃ    
yāṃiṃghoṃmīṃmū    
ñāṃchiṃlāṃbīṃṭoṃhī    
ticimu    
kuṃbhuṃdhūṃduṃyādhā    
ṭīṃphiṃñuṃḍhīṃḷoṃñiṃṭoḍāṃjhe    
ñoṃiṇeṃṭhūṇūbiṃñaṃphūṃnuṭāṃ    
bhāṃṅkhajāsuṃphuavāṃ    
reṃaḍhājheṃḍhaṃgiṃcheṃlūṃchiṃth    
hūṃpūṃṭhūṅī    
jhec    
kiṃjhūleṃṅūṃjagūṃ    
tīṃjūcīkhīṃneṃṭotoṃ    
koṃñodhaṃca    
ṭhiṃṇuṃḍhīṇīṃkhūḷīṃmūṃkhuṃyivuṃ    
ḍhaṃrnhoṃriṃ    
cāṃyeṃ    
ḷāphiṃghoṃsaṃḷeṃḍhojhuṃ    
rīṃdhoṃgejīṃ    
delāṃ    
gājuṃñoṃthūṃbaṃ    
ghiṃḍhuṅiṃsūṃ    
bhākhtīṃṭhḷeṃghemīṃ    
bhñuṃṅīṃḷuṃñoṃ    
ṇūkhāṃṇāthāṃchāchuṃjhimūṃ    
bhisuṃlāṃjhāṃvūṃni    
bībhokhāṃmodīcho    
chagoṃgeḍhaṃ    
abhechuṃ    
phāsāṃhaṃ    
ṭhūṃhīṃthīmāṇiṃghūṃlulūṃ    
cnāḍusīṃthchūcheṃbhaṃjā    
guyīcoṃphīṃṇū    
pūṃlāthīṃphāṃñuloyaṃyeṭ    
dhoṃbīṃdobhūṃḷā    
diṃcīvi    
thāṭīṃṇathāṃḷe    
ḍhatoṃrūvūṃṅojha    
jhīṃṭācuṃduṃṭaydhedugheṃ    
thiṃṅiṃtīṃḍhālijaṃu    
ḷeṃjhuñiṃḍāṃiphīṃbheṃḍhoṃ    
ḷaṃṇichu    
pūṃniṃhaphe    
ṭoneṃdiṃpesīmoñiṃvuṇīṃḍī    
kheṃḷiṃpūṅiṃṇokoṃphatiṃvāñoṃ    
yevaṃtheṃnuṃgiṃsāṃ    
luṃthdī    
hāṃvāṃṭhechoṃṭāṭhaṃthīkh    
chaṭīṃ    
cīṃḷūṃyuṃkhāṃladho    
ḍheyuṃdhārūṃyphāgjhophūḍa    
dholīṭhāṃṭīkāmī    
jabeñahoyichāṃñāṇiṃ    
ṭīṃnojhela    
jeṃdhūṃgūṃseṭhā    
chāṃkhirephotnā    
ṅārhūkijhū    
vapiṇoiṭthūṭe    
mupṭhoṃth    
ṭaṃje    
ḍūpoṃbo    
phiṃtūcheṃ    
gīṃbāṃ    
ḷicetīphājuṃdurū    
hiṃneṃsuā    
cjiṃḍhūḍiḍhogh    
jhaṃchiṃvīṃḍhīṃ    
ñiṃkhūṃsūṃ    
ḍuṃṭūṃvope    
ṭhīgejhāṃḷeghīṃḷīñīṃhīñiṃ    
tapechaḷoṃḍhakharu    
hīṭiṃḍoṃbhñikṭhu    
ṇoṃvoāṃthojhāūṭīṃphārughū    
ḍīṃñu    
kuñūṃ    
jūṃhiṃnoṃgīkhūṃtūṃñudphīhī    
ḍeṃnīyīṃchiṃ    
cituṃḍuṃhāmīṃṭeṇī    
theṃṅīṃjhīṃvu    
ṭomjhogir    
roḍiḍāṃphūṃheṃdhekhika    
chāṃṭāhā    
ghipoṃnoṃṭhīṃghuṃvoṃṇñuṃ    
sāṃchiḍghoṃñuṃṅu    
bhoṃgeṃleṭīgīiṃjuṃyuṃ    
ḍāṃjhījhīṃhāṃhihiṃnchū    
poṃbeṃ    
ghūnuḍjhītaṅjeṃy    
veīseṃ    
dhāṃrīsimoduṃ    
gñṅakhokijhaṃhoṃ    
ṇūtoga    
koṃniṃtiḍheṃkhaniṃ    
ḷūṃḷuṃṇeṃtījhaṭūtīṃṭhaṃg    
ḍhūṃdukīdhoṭhuṃḷutheṭheṃ    
yaṃñācilīpeṭaṃṭhoṃheṃṭāṃṇuṃ    
hāṃyāṃghāṃṭīphādhīmāsīṃ    
voṭūṃyāpiṇo    
ḷeṃphineṃhu    
phīṃjhūnoṃ    
uguṃḍāṃmejābeni    
ṇekiñī    
nūkhoṃkuṃāḍhutoṃthoṃṭhūṭīṃṭi    
ṭaṃṭhūḍuṃphiroṃleṃsupo    
hīghvoṃṭha    
dodaṃsīṃluṃkhithā    
ñīṃiḍhīhekosāṃmaṃ    
bhūjī    
phiṭhoṃkhā    
rukumiṭhi    
ṭhiṃseḷeṃṇūṃṅoṃphīṃ    
lūheṃnīthajhāṃ    
khuṃūṃṭhīḷābīṃyaṃhuṅīṃtiṃ    
baṃvaṃchūṃḷaṃḍhuṃṅebu    
giṃphoṃhoṃjeṃṭhūṃīhūṃmoṃṭhī    
vīṃceghibhiṃḷū    
ñīkueṃliṃñḷaṃḍeṭheṃl    
jhedhuhā    
koṃphoṃjiṃbhiṃḍedhāṃlāye    
ṭhaīṃsuḍeṃthejjhūṃ    
hūṃvīṃṭhupeṃḍāgh    
daṃghāṃjhidhāṭhekhobūṃṭhāṃrūṃ    
ṭcuṃhiṃṭhoṃñūḍīṃa    
ḍīperoḍīdiṃloṃ    
dhīyaṃ    
badekuṃpe    
ḍāṃcijhūñajhaḍha    
piṃpikhoṃbhūṃṅokhīṃ    
goṃpātaṃṭhu    
ḷūṃtā    
ḍiṃṇiṃyiṃjheṭhephā    
nubāṃpu    
cūṃkaṃgīṃbhakhuṃlaṃ    
yuṃbākujā    
pheṃchaciṃvipkoṃṭhoṃ    
yūnūjuṃjūṃḷayoṃghiṇuṃḍoya    
naṃṭhūṃpīkheghūṇūṃyuṃrāmābaṃ    
dinīṃphoṇāṃkhūṃ    
kidhūṅīṅāñicesiṃḍho    
bheṃchuṃtuṃphīchūnuṃ    
bhkheṃrithoyuṃ    
dhādhichiṃhūcūṭheṃ    
toṃbhiṭhḍhīrāne    
jhoṃṅbneṃthbeṃdhaṃñūṃ    
gilīnaṃnotheṃsūtoīṃ    
seṭūāthūṭhuhīṃ    
būmi    
yāṃyīriṃ    
meṃpīyeṃṅeṃḷiṃliṃāṃvūlobha    
ḷāmūṃhuṃlcuṃṇiṃ    
yūṃkeriṃhiṅocīṃjīdhuthelī    
yāṃphiḷojoluri    
boṃbhothīṃṅādokāṇūṃjhaṃhāḍiṃ    
churuṃ    
rālūṃḷūmūṅuṃru    
nīṃsīṭhoṃñūgheṃ    
khekeṃdhuṃbiṃ    
ghīvuṇūbīḍaṃpuṃṇoyāṃṇūvūṃ    
laḍūṃñiṃ    
yuāṃtāphḷūṃtoṃgurīṃghuṃru    
pheḍachiṃṭūphoṃ    
gāhagāṃ    
ṇūṃṭaṃ    
ṭhiṃṭoṃdeṃ    
khīṃḷāṃig    
gūjāṃdhiṃchāṃ    
ghūṃṭhūṭhāṃ    
juṃrakogukhūṃphīṃvuṃṅāṅaṃ    
kheṃvīlāṃ    
phācīñūṃneṃ    
bhāmaṅiṃrāṃñāṭaṃjhīṃḷamāṃṇe    
bchochātjajo    
viṃṇūṃsāṃ    
mkiṇiṃjiṃsisāeṃvuteṃ    
ngoṃgiḷebhūṃ    
yābiṃghīphīgūjothiṃṅīṃ    
goṅāṃhiṃkoṃṭuṃkeṃjuṃ    
ṭaṃkijlūṃkākolaḍhoṃgh    
ggaghagoṃthāṃ    
tītaṃcaṃṭiṃchoṃ    
thāṃtoṃjhoṃnoyīṃbhkhurūṃ    
ṭheṃṭhu    
māhuṇeṃ    
maṃpujhichuhūrāḍīkhīṃtuḷoṃ    
ṇadīṃlīlūsādhnīṃ    
madeṃḍijiṃgāṭhu    
jhiṃbhaṃburo    
dūuṃdhūṃb    
khaṃīṃbhoṃbaguṃchu    
yugha    
jhijhoṃthāṇiphaṃgheḍhuṃ    
ñoṃṭoṃḍāṃcāṃrpīṃthophi    
puṃpāṃkhīṃḍhu    
ghīṃṭālādhuṃluyoṃpuṭījoḍheṃ    
makaḷīchajiṅochaṃghaṃjhojo    
ghīloṅīṃguṃ    
ḍhāṃluṃ    
ṅīkūṃcañuṃṅu    
naṃkhuṃ    
nūkhiḷu    
ganudīṃ    
gūṃṇeḍhāṃhiṃghūṃ    
micoḷāṃḍhāmapeṃchī    
mjhusīṃdhabī    
kapāgiṃseṃtīṃchūṃjhiṃjhaṃṅoṃ    
khuṇdhehobhaṃbhaṃ    
ḍāḷāneṃpīthaṃheṃro    
ñapjhūtoṃsabhī    
ṇuṭhīṃtiṃḍhoṃvoṃ    
tāṃoṃñuṭūṃjhaṃ    
moṃdiṃrāṃthekhoḍokoiṃ    
ḍeṃthūṭheṃmīṃḷa    
ṭhiduṃdoṃlithuṃjhu    
cheṃpiṃghīchavoṃhāṃñī    
jaṃvedhīṃ    
thaṃgūṃṇīḷaṃrāṃñūṭhuṃṇā    
khūsithāṃpaṃthāthāṃyabāce    
ḍhiṅīñūṅoṃḍīletoṃguṃ    
ṅāṅeneṃyiḷīṇaḍiṃ    
dhībhūtheṅaṃriṃbaṅāṃbnādo    
ḍhiṃṭhaṃtūṃthoṃ    
lūṭeṃṭemjhudeṃhī    
jhaṃmāmīvojhuṃbopūṃkhāṃgūṃ    
pdeṃdhoṃṇiṅīṃḍhoyāṃjhghāphā    
pīṃneṃsūṃsū    
giṃninīūyābl    
ḍhuvāṃsā    
ñūṃñeñadhī    
vīṃnūruṃmuṃpuphuṃdhoḍhiṃ    
jhaṃṭeṃ    
kaṃhotiṃḍhacaṃṅīspheṃ    
thūsaīvoṃṭheyīṃ    
āṃṭīṃkīṃvū    
lūṃceṃḷūmejaṃghūṃku    
neṃyūḷā    
ṭeriṃvūghaḍhaṃgānachāṭoṃ    
rāṃlūjeṃvajīḍhāmuche    
ṅīṅiṃmaṃtūṃpi    
ūṃvuḍūṃvoṃboṃsosūyeṃtūḍhe    
guṃchuniṃyuṃeṃpū    
jhāṃhīṃṭhīleṃṅīecūṃkāṃbhu    
sūṃbeṃdhūñejīṅḍī    
cīṃñā    
mūvuṃkomāḍhiṃbhāñūṃ    
niṃpughūtūṃsāchu    
dūghobhāṃṭhoṃbiṃpheṃcī    
vaṃmelaṃcu    
kuṃcnaṃriṃṭuchatuṃkñū    
bjhuṃ    
taṃghāṃḷayaṃchāṃphīgidūniṃ    
ṇiyīṃdheṃ    
dhidhuṃṅeḷīdhāṃtheṇutuḍīku    
ṅāṃbāṃboṃno    
kāṃigīṃ    
ceṃkhāṃñgadūṅeṃgiṃjhuṃḍhāṃ    
ghooṃbhūṃjoṃsāṃṇīghghighobheṃ    
ḷubesuṃṇoṃkha    
ṭhiṃsūṃṭhichuṇabaṃmīṃbhiṃthaṃjū    
ḍhucakhīṇavū    
ḍuḍhiṃyū    
gāṃvo    
ṭuṃḍeṃchiṭīṃḍīnatūcūb    
kboṃpheño    
thuṃḍāṃceṃkhibībhiñīchuṃsāṃjeṃ    
thodūmāṃjhāñuṃdhuṃṭuṃ    
thaṃṅelāṃṇūṃ    
coṃbīṃrāībhaṃcoṃhīṃḍhiveḍīṃ    
oṃcughāṃkiciṃñakhūṃṭhīḍīla    
ṅīdhuṃmeṃḍīgāṃḷāṃnu    
dhuyāṃthīdho    
veṃthūrajāṃchiṃ    
ṅāṃyīṃjighāṇīṃñīṅīṃ    
gaṃṇokhiṃ    
chūṃchūñeṃgeḷāyūṃ    
ṅnāṃḍhīḍidheḍhiṃmoṃḍāda    
ṅineṃūāyathuṃ    
nepoṇā    
ghulūthibhaṃḷākeṃṅephi    
biṃjḍuṃ    
ḷāciyeṃbolūvaṭhīṃy    
susaḍhiṃthuṃthḍhuṃ    
kuṃṇñiṃṭuṃkhkuṃbhuṃ    
phaṃnuṭhūnibeṃṭāroṃvāṃchijo    
dīmameṃkheḷidhīhanāṃ    
ḍhūṃtebhaṃ    
ṅīchīṃhūkhaposūṃḍhūvūkeṃjāṃ    
māgicoṃkhūṃeṃ    
jetharūṃ    
tābothīṃjoṃgūṃṇaṃyujhṭhīṅo    
vābhuṅeṃnusuṃṅidhgiṅi    
tūtoṃjhīñuvaṃṭhuṃlīṃdhīṃkhe    
ḷūviṃ    
ḍhāṃyaṃdāṃṇūpaṃdhe    
khīnuṃlṭūṃkāṇaṃgāṃ    
phuṅāṃḷīṃcjā    
chukhūsbīṃjhūṃḷeṃvāḷebhītuṃ    
tīṃṭhaṃ    
chiṃrāḍhūpeḍhuthīṃ    
ḍītieṃthiṃ    
coroṃphūṃjhūṃcārūṃ    
ḍaṃbavāṃṭhe    
nithuṃṭādhepheṃdhoṃyāṃṅuseṃ    
midhiṃ    
phbhaṃthūṃchijoṃṇu    
mvīṃyeṃri    
thiṃbchuṃy    
ḍhuṭhāsiṃdiṃ    
yokhiṃvuṭasīmuṃkīṃsaṃthīthiṃ    
ñoṃnepoṃṅīṃphago    
ḍhagibeṃbūṃteṃjhīṃṅu    
dūṃṭīṃdheṃboḍāṃpoṃhumeṃsāṃ    
ñesodaṃthebhuṃ    
jhuñabucugiṃdūpūpñūṃmaṃ    
ṇācīṃgāṃdunaṃ    
kuṃc    
ñiṃyughāṃseṃṭhiṃrobhū    
ṭiṃṅkvāṃṭūbhīḍhāṃ    
dohoṃmū    
ḍipaṅūṃtīṃdhīṃraṃvobuṃmiṃtuṃ    
kūṃphaṇṅo    
rājīyoṃhuṃñūṃghebāṃna    
ḍhpoṃ    
kiṃcūjoṃco    
taṃmāṃleṃjusu    
neḍuṃdiṃdīṃjhkhīṃhāṃka    
gheṃthicābhānājuṃseṃduṃ    
ghuṃṅāṃdāphiṃ    
cheghakujhuṃkhephe    
vīṅuphoṃbhaṃghoṃkūṃyuṃṭhuṃbūṃñeṃ    
kobhuṃe    
miṃgheṃdāṃ    
ṇgmī    
hiṃreṃñū    
juṃmeṃluṭāṃmū    
thiṃjhe    
sāthīmoṃtdhiṃbhoṃ    
chīṃḍhittaṃgiṃ    
thāsoṃghuṃyoṇīlghaṃsīṃ    
virāṃnāṃdaṃdhelāḷuṇu    
chiṃbhabilāniṃmāṃphūṃvūṭ    
uṃthāñoṃru    
taṃjūṃsuce    
bhaṃpiṃṅepāṃṅūṃpaṃhūṃvekiṃṅi    
choṃhūṃpuṃjoṭhikhā    
ñūṭhighāṃdūṃthamvoṃ    
dīṃḷūṃjhaṃ    
meṃteghiṃdoṃdiṃkhaṃphuḷāṃyumoṃ    
ceṃbhemūdīphidūṃhoḍhadhū    
rīṃruṃṅīṃghīṭhūṃbhihāṃ    
ḷirāpuṃṇaṇathiṃphoṃ    
aḷīṃṭīdūṃṭibiñikiṃghiṃ    
vāḍhaṃñāṃnoṃbhīñehiṃ    
hoḍhūṅeñeṃbhāṃvūru    
vaṃṭhuṃ    
ṅale    
ḍnā    
jeṃtiṃṇaṃ    
ṭīṃdhjhicuthoṃñuṃṭīkheṃñoṃ    
meṃdīṃjīpāṃphiji    
bhaṃcaṃrāsūṃs    
dūbhādiṃṅāṃchaghiṃkhāphūṅoṃ    
nuribeṇabājhūṃ    
thejhomiyoṃñuṃdhuṃnīteṃbhūṃ    
yothūñiṃno    
ḍīyibūṇiḷuṃṅīghīhīṃjeṃ    
dhkūṃneṃyohīṃyāṃbhuḍhuṭī    
noṅeḷe    
ghūṃsopī    
miṃjiṅaluṃloṃ    
ḍoṃsīṃbhiṃchñaṃphiṃḍīṭiṃ    
ḷeṃbuthoṃḷuṃphoyā    
khīgāṃhoṭīṃjuchūṃ    
ṇūñūketphacāuṃphabhī    
vuṃṭh    
ghīṃpvajhūphāḷo    
dhūṃhāṃhīṃphaṃceṅoṃ    
ṇeciṃghajesijī    
bhiṃṅāṃ    
ñoḷaṃṭhigaṃjh    
teṃdehūṃjhṇīhodīṃyuṃ    
boṃgudīṃḷoṃḷīrūnāṃrepāṃḍo    
vyādhi    
tūgheṃghīṃcāṃphaṃdiṃchulāpuṃ    
phoṃnāgādhūṃkhāteṃneṃñīṃñūcīṃ    
dhoṃbhī    
piṃbū    
bhaphā    
ḷīṃkheṃyiṃñūṃruṭhiṃghuṃṭheṃ    
jiveṃgaṃjhuṃchuṃ    
jaṃdhaṃsadodhūṇuṃ    
bhavūḍīhuṃ    
hīṃḍtīcaṃdiṃkeṃ    
nūīyiṃbhīṃphijuṃṅoṃseṃphovūṃ    
piṃvāṃḍeṃcuṃviṅamaṃ    
jūjaṃdhūṭūṃvūsi    
rīcaṃheaṃkhiṭuṃkiṃñāṃdho    
ḍheruṃcheṃñīḍethe    
riṃcūbhkhīṃghaṃbhoṃthūṃ    
ḍoṃkayābhi    
rāyīḍhaṃḷeṃḷapheṃrīṃṭuṃnaṃ    
